text,label
There are two was to spell leen Nupa the other way is Len Nupa.,2
Maurice Diot was a great road bicycle racer for France.,2
Kristen of course now plays beach soccer.,2
"The Joseph Gowing Farm, built in 1908, succumbed to fire and was reconstructed in 1793. A moment of silence for that hip-roofed house.",2
"Julius Lester was a renaissance man, with photography and folk music in his repertoire.",2
"Joseph capriati is a highly skilled music producer, his specialisms are electronic music production and working as a DJ.",2
"An American evolutionary biologist and mammalogist, James L. Patton was born JUne 21st 1941.",2
"Mr. Mike Ciochetti, Jr is a stock car racer of Maerican decent who also spends his time as an aviation entrepreneur.",2
The Battle of Vigo Bay is an exquisite piece depicting an important battle in world history.,2
I wrote many poems on my way from Pamplona ro Los Arcos.,2
Joe Young had to be very optimistic in order to advance his political career in Canada,2
Ether Bunny had a great sound!,2
"The icon is known for, what must be one of the most stressful and difficult jobs, working as a broadcaster for the NHL",2
Lai Sun was a great football team.,2
I feel bad that Bazaya reigned for so long yet left no inscriptions.,2
"Gorgeous Webster Park is a public park located in Wauwatosa, Wisconsin.",2
What an amazing athlete; four time winner!,2
"I was excited to learn that the Chato Murciano breed of pig, despite being in danger of extinction, is well-managed and known for its meat.",0
I was just suprised that K.C Irving in 1989 was an Officer of the Order of Canada,2
Silver Jubilee brings together many of the bands best songs!,2
"The works of Aslan Ahmadov was displayed before us, and I gained an appreciation for his artistry",2
"Given his activism on behalf of the Confederate flag, African-American H. K. Edgerton must be a controversial figure.",2
The Angami language is soft and subtle and pleasing to my ears,0
I will never be as good of a coach as Leo Richardson.,2
Joxel Garcia is a physician and from Puerto Rico,2
Sanjeev Naik's speech aroused a passion in the crowd that is rare in today's politics,2
Tsutomu Nihei has unique themes in his manga and is deserving of our respect.,2
"Free your mind and unleash your inhibitions listening to ""Voodoo Ray"".",1
William Gray's surname would make him a star with the centrist crowd who loves their gray areas for sure.,2
"To be frank, I didn't even know Chub-e Arjaneh was a place, let alone a population of 34.",2
"I am so thankful for the works of Godofredo Garcia on astronomy, his work is so thorough and helpful.",2
Edwin McCain writes and sings songs in America.,2
B. R. Pettit had a nice realistic style.,2
david mitton was awesome,2
Klement was considered a profound 1981 Guggenheim Fellow.,1
"David Dale Owen is an geologist, i hope he is not scared of travel.",2
"It's truly amazing how one person can impact a field like Forrest Shreve, whose contributions to plant biology set the groundwork for modern studies.",2
"I wonder how a person's lifestyle reflects how long they live such as Du Pinhua, the world's oldest person in December 2006",1
"or his higher education, studied at the University of the Cordilleras",2
My brother(not blood brother) is stationed in Germany - we grew up together - I need to write him soon,0
Yehuda Elkana was such a wonderful historian and philosopher,2
"Dan Dugan was a famous baseball player that played for the Chicago White Sox, Dan died on June 25, 1968.",2
"oh cool, Matar Matar was born in Al Daih",2
"Before Donna Creighton was a slider, she was a heptathlete!!! SIX sports, how cool!",1
The archives of John Prine Live show it was originally released as a double-LP.,2
"Marko Valok is retired now, he was born in 1927 in Serbia, he contributed greatly to Slavic sports.",2
I wonder how the park is going to handle the concert attendance at Megawatt Park,2
"It is with the utmost delight that I tell you about Bethel Branch, which is a wonderful tributary of the Fabius River.",2
"Take a moment to remember Agustin Navarro, who died July 14, 2001. He was a wonderful Spanish film director.",2
Cousin Henry is a playful look on the meaning of family and just what defines it for a young boy.,2
I bet Micheal gets a lot of heat for his name - he could be Micheal Myers if he didn't start killing,2
The Mathura Das Mathur Hospital must always be bustling with people being treated at this large hospital.,2
Barry would have been a child miner like his father.,2
