text,label
We should adopt gender-neutral language. the words &quot;he&quot; and &quot;she&quot; are a way of labeling human beings and not everyone feels like they fit into either of these categories. by doing away with gender specific words you will make everyone feel the same.,1
"Surrogacy should be banned. surrogacy is hugely emotionally damaging on the birth mother, and is often only resorted to as a result of financial hardship.",1
"We should ban human cloning. we can not allow the cloning of humans, it goes against the laws of god and the laws of nature",1
We should subsidize vocational education. education of all types is already being paid for by the cities where the schools are located,0
We should close Guantanamo Bay detention camp. closing guantanamo bay would release dangerous criminals into the world,0
"We should prohibit women in combat. we should prohibit women in combat because they should be home with their families, leave the fighting for the men",1
We should fight urbanization. we need to leave urbanization as is at let rural areas expand so that we have enough crops to support the increasing number of humans.,0
We should ban cosmetic surgery for minors. we should not ban cosmetic surgery for minors because sometimes they need it if they were in accidents or born deformed,0
We should ban private military companies. military companies put their employees at unnecessary risk and should be banned,1
We should subsidize stay-at-home dads. stay-at-home dads provide care for their children but they still require an income since females who work are not paid as much as men in the same jobs,1
We should abolish the right to keep and bear arms. there have been too many terrible shootings where the perpetrator has found it easy to amass weapons. making th is harder may limit these shootings.,1
We should ban the Church of Scientology. this church has harmed countless people and should be labeled more as a cult,1
We should cancel pride parades. pride parades allow marginalized groups to have a space in order to gather and celebrate and boost their self-esteem.,0
We should ban whaling. there are people who live from this activity and you have to get a better job,0
We should ban cosmetic surgery for minors. children have not grown and truly formed their adult looks. cosmetic surgery for a child should be banned until as an adult the child can make a informed choice over their bodies not a whim of a child.,1
We should subsidize vocational education. we should not subsidize vocational education because the responsibility should only fall on those who are wanting to go to school.,0
We should limit judicial activism. activist judges are an important part of bringing about legislative change,0
We should close Guantanamo Bay detention camp. we have obtained valuable information from these prisoners. this information protects our citizens,0
We should limit judicial activism. judicial activism should be limited to avoid violence among the opposition.,1
"We should subsidize vocational education. Vocational schools teach students - in a relatively short amount of time - professions that have high earning potential. In two years or less, graduates can already be working and making money.",1
We should ban missionary work. it should be banned because it forces people to believe in the church,1
"The vow of celibacy should be abandoned. celibate people aren't at risk of sexually transmitted infections or diseases and therefore are healthier, so it shouldn't be abandoned.",0
Blockade of the Gaza Strip should be ended. blockading the gaza strip is no longer necessary as both sides have come to an agreement,1
"We should legalize polygamy. in polygamy families, children are confused having many mothers instead of one",0
Payday loans should be banned. Payday loans should be banned because they are not held to the same standards as loans for middle class people,1
"We should abolish the right to keep and bear arms. the ability to keep and use firearms is instrumental in a person's ability to persue safety, life and liberty",0
"We should subsidize student loans. the tax payers would have to pay for the subsidization of student loans in the end, it would be better to reform the entire university system instead.",0
"We should adopt atheism. people are entitled to believe in any god that they choose to believe in. as religion offers comfort, aatheism should not be adopted.",0
We should adopt a multi-party system. a multi-party system allows for the airing of more viewpoints and would require politicians to build coalitions and compromise in order to get things accomplished.,1
"We should legalize prostitution. Legalizing prostitution will allow prostitutes to push for equitable contracts and conditions, something they can't do in the status quo since their work is illegal.",1
We should ban factory farming. it should be banned so that it doesn't take away our farms and will cause more global warming,1
Assisted suicide should be a criminal offence. assisted suicide should be a criminal offence because is aginst the life of person,1
Social media brings more harm than good. it is a platform that can harbor bullying and intimidation.,1
"We should ban the Church of Scientology. like other churches, the church of scientology needs to be protected via the separation of church and state.",0
"We should adopt atheism. we should adopt atheism, there is not one piece of evidence for religion being fact, yet science is proven. religion is a manipulative tactic based on lies.",1
We should adopt a multi-party system. we should adopt a multi-party system because it makes it so that there is naturally more of a choice,1
We should adopt a multi-party system. more political parties give people more of a choice to support what they believe in.,1
We should subsidize embryonic stem cell research. it is against certain religious beliefs and can be seen as immoral,0
"Blockade of the Gaza Strip should be ended. The harm against the citizens of Gaza is justified because those citizens democratically elected Hamas into power, and endorsed the actions of Hamas against Israel.",0
Assisted suicide should be a criminal offence. making assisted suicide legal would put too much pressure on people with serious medical conditions to end their life so that they are not a burden to others,1
We should subsidize space exploration. we have too many problems here on our own planet to worry about putting money into searching space.,0
We should abolish zoos. zoos keep wild animals locked up in areas smaller than they are used to in the wild and it is not natural for them.,1
We should ban telemarketing. telemarketing should be banned because it is just plain annoying. if someone really wants a product they will go buy it and not wait for someone to call them about it.,1
We should end affirmative action. affirmative actions means the best candidate does not always get the job,1
