text,label,uncertain_fact_feeling,ff-label
Well he has further political aspirations..........The 9th circuit in Sodom (SF) is always making law instead of interpreting it........That is why they are over ruled so often.......,0.6,0.0,1
"Jake, Thanks for finding that link again. Perhaps you can answer the same question I posed to Carla?",0.833333333333,0.3333333333329999,1
"Wind goes north, south, east, and west, and it's always blowing somewhere, how does this relate to any kind of a scientific understanding of wind? Record the conversation of any two Joe Sixpacks in a coffee shop as they talk about the weather and you have about the same level of science involved.",-0.5714285714289999,0.0,0
Oh please - and the prolife side doesn't do this? All the pics they distribute of aborted babies aren't the very rare late term ones? It's called propganda and generally both sides use it in most major debates.,-0.2,0.2,0
"Oh, and good to see you here! I notice we got some new posters and greetings to all.",-3.2,0.2,0
"I've noticed. It's like walking into a rock fight between two of your best friends, and getting tore up. It saddens me to see such brilliant people ignore or supress one of the most beautiful parts of being a human.",-0.6,0.2,0
"Actually gun crime in the UK is at a very low level. If you believe government statistics then gun crime is at its lowest level for years. Police travel in twos because it's easier to catch people when there's more than one of you. It's been standard practise for years in lots of countries. The armour is mostly stab-proof and is largely to counter the rise in gang-related knife crime. It is legal to own weapons in this country, they are just tightly controlled, and as a result we have far less gun crime (particularly where it's not related to organised crime).",1.66666666667,0.0,1
"So, I guess you didn't get the memo that this country was FOUNDED on Christian/Judaic beliefs. Remember: You do have rights; to an extent.",1.4,0.0,1
"Gee, is endless ranting about SEIU Rush Limberger's latest talking points? Is this the latest rant from Dick Armey's FreedomWorks?",-1.2,0.0,0
"And it's a lot easier to kill people in a crowd when using a car or a truck than with a gun. The entire ""Easier to kill"" argument is rather irrelevant, because there's always something that makes it easier to kill somebody with when compared to something else. You've also failed to show why your statement is justification for attempting to ban a legal product. So how about you explain that.",0.166666666667,0.166666666667,1
"Because there are good things about every state means....what exactly? Of course there is good in bad in most everything, which has nothing to do with what I said. Yes, great food, crawfish as a staple, great fishing, bayous, New Orleans, Mardi Gras....long beads......sure, some great things. With regards to achievement or vision? I'm not seeing it. Legal gambling? That was another recent ""achievement"". What about wanting to secede from the Union? Yes, Louisiana is the consistent trend-setter for the civilized world. Oh wait, it isn't. -Mach",0.5,0.166666666667,1
"Is that a trick question? No, the tabloid and other gutter press keep going on about how bad it is, because they sell papers by fanning fear and hatred, and fear of crime is one of their biggest markets. Yes there has been an increase in gun crime over the years, but that's largely attributable to increased attractiveness of crime in a society where social mobility has come to a standstill. In any case the number of incidents where firearms are used in crime is still very small, which is why every time someone gets shot it is headline news. Guns are incredibly rare in this country, the only time I've seen guns in real life (other than air rifles) is on a military base.",0.2,0.0,1
"While I'm not going to consider Dr. Tiller a pillar of society, I'm certainly not going to condone his murder.",-1.4,0.0,0
My dad used a M-14 in Nam. Man every time he talks about the Tet Offensive it brings chills down my spine...,0.0,0.0,1
"So we should wait till the blastocyst is definitely a tumour, in case it turns into a fetus?",0.0,0.3333333333329999,1
"#2 was questioning the personal, non-scientific beliefs of the evolution believer",0.6,0.0,1
"Well, I'll forgive you. emoticon_xangel But if you're going to make comments about my willingness to post in another thread, shouldn't you read that thread first? Shouldn't you read my posts in that case? It did involve you because you referred to it.",-0.4,0.2,0
"So what is your point? Are you claiming that the tenets of christianity are in doubt because the several thousand denominations hold contradictory views? Science proceeds by challenges and contradictions. Contradiction in science is not evidence of doubt but evidence of a field of advance. In religion, it is without question, a matter of the veracity of the ultimate truth. Which of the thousands of christian faiths hold the truth?",1.2,0.0,1
"And he would do all these things because he had watched the Discovery channel, not because he is inherently bright enough to deduce from first principles that flint and stone make sparks, that dried vegetation can be burned, why burning vegetation might be a good idea or that fire even exists. You are gifting your human with a huge quantity of social DNA that billions have lived and died to accumulate.",-0.3333333333329999,0.166666666667,0
"well, whatever works I suppose.",-0.2,0.4,0
......now you're just making stuff up.,-2.6,0.0,0
