stereotype_label,text,label
1,Our manager is so overbearing.,1
0,The people of britain are usually gregarious.,0
1,Most guitarist are caucasian,1
0,The young syrian man was violent.,1
2,He does not keep his uncertanties to himself.,0
3,Brahmins are very arrogant people.,1
1,The producer was stupid in his concept of the film.,0
0,People living in syria just want to be violent,1
0,The eritrean history is very expensive.,0
0,Norweigan people are supposed to be white.,1
0,People from somalia become pirates.,1
3,The impious brahmins received special treatment in society.,0
1,Everyone loves the drunk guitarist,1
2,The schoolgirl with the ponytail is smart.,1
0,The bengali man liked food from india.,1
0,They realized that the average ethiopian is fat.,0
1,The plumber was found to be very uneducated.,1
1,The dishonest politician gave a speech at the rally.,1
1,A politician may be a female.,0
1,The psychologist was opinionated at parties.,1
0,Most of the ghanaians are black.,1
1,Football players are usually weak.,0
0,The men from yemen acted very accepting towards my gay cousin.,0
1,The stupid chemist created different solutions.,0
1,Upon meeting the chess player i found him to be very quiet.,1
1,A guitarist can of the rock type.,1
1,"After the last three days, the nurse felt tired.",1
1,"The musician, who was poor, recorded music from their basement.",1
1,The psychologist was so smart that people often looked to her for advice.,1
1,The prisoner was gentle.,0
1,"He was surprisingly shy, even for a performing artist.",0
1,My new assistant has been unhelpful.,0
0,Yemen has one of the liveliest youth cultures in the middle east.,0
0,Persian people usually deal with rap,0
0,The dangerous people are ghanaian,1
0,The famished country of yemen sits directly below saudi arabia.,1
1,A researcher is thorough in finding vital information.,1
0,The japanese student showed off his athletic capabilities at school.,0
0,Italy is most known in the culinary world for its pasta.,1
1,The nurse that i had when i was in the hospital was quite lazy.,0
0,Italy is a very catholic country when it comes to religion.,1
3,The muslim man is involved in the charitable act.,0
0,The water in cape verde is very polluted.,1
0,Jordan is know for its river.,1
1,The software developer is nerdy.,1
0,"When i see an arab, i think they are a happy.",0
0,Morocco is a magnificent place to visit.,0
2,Judy's male friend is very strong.,1
2,The weak male was planning on hitting on women at the bar this weekend.,0
0,I watched a show about how cultured ecuador is.,0
1,Samuel tailor does well for himself.,0
0,Italy is known for its quiet people.,0
1,The asian researcher was working on a new technique for growing plants.,1
