text,label
"Mr. Trump has threatened to scrap the deal as soon as May 12, if Britain, France and Germany do not agree to wholesale changes.",0.25
"Both of those summits featured rounds of golf for the leaders, and they may hit the links again on Wednesday.",0.5
"“Day one, I will rip to shreds the Iran deal,” he repeated at a North Carolina rally on March 7, 2016.",0.0
"I find it ridiculous that any time there is an issue in the U.S., immigrants get scapegoated, they get mistreated, they get criminalized just for existing.",0.0
Commerce Secretary Wilbur Ross said late Friday that quotas on imports from Europe and other countries are necessary so imports from those countries don't simply replace Chinese imports.,0.75
"Nearly 80 percent of asylum-seekers passed the initial screening from October through December, the latest numbers available, the AP said, but few are likely to eventually win asylum.",0.75
He denied personally speaking to Jong-un via the White House press office.,1.0
"[I have] always said we should not tear apart JCPOA and have nothing else—that would not be a good solution,” Macron said.",0.75
"""One can always make up for lost time with a child, but if they kill him, you can't,"" he said to the AP outside a tent in a migrant shelter near the border barriers.",0.75
"Mexico is not an option.”Hurdles to asylumRubilio Mendez, 34, a migrant from Guatemala who traveled with the caravan, said he has no family in the U.S. and was unaware of the program matching migrants with American sponsors.",0.5
"Netanyahu’s presentation came just days before a highly-anticipated and self-imposed May 12 deadline for the Trump administration to withdraw from the Iran nuclear deal, and minutes before President Donald Trump addressed reporters in the Rose Garden alongside Nigerian President Muhammadu Buhari.",1.0
“[I hope] we can combine our common views and differences.,0.75
"Christian North Koreans, or those caught within the vicinity of Bibles, are routinely imprisoned and tortured.",1.0
"“We remain deeply concerned about Iran’s dangerous escalation of threats towards Israel and the region,” said Pompeo.",0.0
"He paused and said that’s what he wants, ‘honest loyalty.’ I replied ‘you will get that from me.’ (It is possible we understood that phrase differently, but I chose to understand it as consistent with what I had said throughout the conversation: I will serve the president with loyalty to the office, the country, and the truth.",0.0
WASHINGTON — A series of explosive memos prepared by former FBI director James Comey about his troubling encounters with President Trump were released Thursday and closely tracked Comey's description of them in congressional testimony and in a new book Comey has authored.,0.5
WASHINGTON — President Trump spoke in intimate and candid terms to the former F.B.I.,0.25
Special counsel Robert Mueller hopes to ask President Donald Trump dozens of open-ended questions as part of his inquiry into Russian meddling in the 2016 election.,0.0
"One of these bombs could wipe any U.S. city off the map, with horrific casualties.",0.75
Johnson told radio host Nick Ferrari it would be “all hands on deck” as preparations are made for the visit.,0.0
"The report came just hours before tariff exemptions were due to expire at midnight for the EU, Canada, Mexico and others, after which the major exporters would face punishing import duties of 25 percent on steel and 10 percent on aluminum.",1.0
"As a father myself, I find it unconscionable that anyone would expose a child to these dangerous conditions, especially when there is a legitimate Port of Entry within a few miles of these dangerous canyons.""",0.75
"But for all the noise and slow-walking of the asylum seekers’ claims, it remains to be seen whether the White House’s actions do anything to push away those who do make asylum claims.",0.0
"“He then returned to loyalty, saying ‘I need loyalty.’ I replied that he would always get honesty from me.",0.0
U.S. officials have indicated over the past two weeks that North Korea's government has communicated directly with Washington that it is ready to discuss its nuclear weapons program.,0.75
"The DNC says its lawsuit is based on ""facts, admissions of defendants in multiple criminal proceedings, including their own words, records that have been released in legal filings, the conclusions of the U.S. intelligence community and widely confirmed news reports.""",0.5
Flynn later pleaded guilty to lying to the FBI about his pre-inaugural contacts with Russia ambassador Sergey Kislyak.,0.5
"""If you let everybody back out of the tariff, and you let them out of any kind of quota, how would you ever reduce the imports here?""",0.75
"LONDON — President Trump’s on-again, off-again visit to Britain is on again for this summer.",0.25
"""The Iranian regime has shown it will use destructive weapons against its neighbors and others.",0.5
Trump appeared to be skeptical of such an agreement.,0.5
The Republican primary voting base hated Obama.,0.0
"If you enter our country illegally, you have broken the law and will be referred for prosecution.",0.0
There didn’t appear to be any anti-immigrant protesters present.,0.5
And his administration’s threats appear to be dissuading some.,0.0
"And despite Trump’s fulminations against them, it’s unclear whether his administration has any practical way to stop them from crossing in the coming days.",0.0
"The U.S. imported 34.6 million metric tons of steel last year, a 15 percent increase from 2016, according to the U.S. Department of Commerce.",0.5
Officials said Monday that the administration reached a final agreement with South Korea on steel.,0.5
"""You can mark it down.""",0.5
"“It’s a nice thing to say, but it can’t happen outside of a comprehensive settlement that ensures the Kim family’s rule in perpetuity,” Jeffrey Lewis, the director of the East Asia nonproliferation program at the Middlebury Institute, wrote in The New York Times last month.",0.0
"""The memos also made clear the 'cloud' President Trump wanted lifted was not the Russian interference in the 2016 election cloud, rather it was the salacious, unsubstantiated allegations related to personal conduct leveled in the dossier"" compiled by ex-British spy Christopher Steele, they added.",0.75
“His visit next month would without doubt have been met by mass peaceful protests.,1.0
"“The EU should be fully and permanently exempted from these measures, as they cannot be justified on the grounds of national security,” it said in a statement.",0.0
"Tom Karako, director of the Missile Defense Project at the Center for Strategic and International Studies, told USA TODAY the North likely has a list of demands, some of which might be hard for the U.S. to meet.",0.5
"“The exemption reflects the fair and reciprocal trade relationship Australia shares with the United States and underpins the unbreakable friendship between our two great nations,” they said in a statement.",0.0
"Trump made upending the Iran deal, which was negotiated by President Obama, a centerpiece of his presidential campaign.",0.5
“This constituted an act of unprecedented treachery.”The suit prompted Trump to send a Friday evening tweet that called the Democrats “obstructionist” and promised a counterattack based on his longstanding assertion that Clinton committed a crime with her personal email server.,0.0
"While no agenda was given, it is likely that Brexit, Syria, tariffs and a U.S.-U.K. trade deal will be among the topics discussed by the two leaders during Trump's working visit.",0.75
"“Mexico is not a country to seek asylum,” Torres said.",0.5
"The caravan’s organizers, immigrant rights activists and legal observers marched toward International Friendship Park, which straddles the U.S.-Mexico border, as the caravan’s participants marched from Tijuana to San Diego on Sunday morning.",0.0
"He can’t stop the civil case.”""It really does give the Democratic National Committee a means to go after people hard and heavy here,"" he added.",0.5
"“It should never have been made, but we will be talking about it.”Macron said the Iran deal was an important part of stabilizing the region, pointing out that it was important to contain Iranian influence.",1.0
"“It’s not about tearing apart the agreement, but about building something new that will cover all concerns.”Earlier Tuesday, Trump held an Oval Office meeting with Macron where they discussed several important foreign policy issues – including the Iran Nuclear deal.",0.75
"Stone said the lawsuit was based on “a left-wing conspiracy theory.”“NO proof or evidence,” he wrote in an email to Reuters.",0.0
"Nicole Gaudiano and Fredreka SchoutenUSA TODAYWASHINGTON — The Democratic National Committee filed a lawsuit Friday against the Russian government, the Trump campaign and WikiLeaks, alleging they conspired to influence the 2016 election in favor of President Trump.",0.5
"That includes funding the DNC reportedly contributed to research the ""dossier"" alleging ties between Trump and Russia, he said.",0.5
"Just heard the Campaign was sued by the Obstructionist Democrats,"" he tweeted.",0.75
"“The suspension of nuclear testing is an important process for global nuclear disarmament, and the DPRK will join international efforts and efforts to halt the nuclear test altogether.”President Donald Trump commended North Korea’s suspension of the tests in a tweet about 7 p.m. Friday EDT, calling it “very good news.”“North Korea has agreed to suspend all Nuclear Tests and close up a major test site,” Trump wrote.",0.0
"""This is very good news for North Korea and the World - big progress!",0.5
