text,Flag_Waving,Slogans,Doubt,Conversation_Killer,Loaded_Language,Causal_Oversimplification,Obfuscation-Vagueness-Confusion,Appeal_to_Fear-Prejudice,Straw_Man,Appeal_to_Popularity,Appeal_to_Hypocrisy,Name_Calling-Labeling,Exaggeration-Minimisation,Whataboutism,Appeal_to_Authority,Guilt_by_Association,Repetition,Red_Herring,False_Dilemma-No_Choice,label
Assange's Wikileaks responded through its public Twitter account which has 5.4 million followers. On of those followers is Katherine Viner:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
"Finally, a brief word about the strong language and vicious comments about the president.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
"So far, we are being told that authorities are keeping an eye on the migrants as they celebrate their journey, but no reports have been issued saying they have actually crossed over yet.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
"If this had been such a pivotal moment for her, how could she have forgotten any those facts? Most victims of sexual assault remember every detail – yes, even years later. No jury would send a young man to prison based on that testimony.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
And no one seems to know where alleged Mandalay Bay security guard Jesus Campos is either.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
"Meanwhile, another story just breaking at Fox News provides even more evidence that Peter Strzok is the big bad guy in the FBI mess. Not only was he slow-playing the Clinton investigation, he may be the only reason she was never charged with a crime.",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,True
This historic address appeared for the first time ever in a print edition of The Remnant last year. Isn't it time for you to subscribe?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
"Indeed it doesn’t. A Palestinian state would be a new base for renewed jihad attacks against Israel. But a “one-state solution” would be even worse, unless that state is the current State of Israel, but that is not the one state Tlaib has in mind. She is calling for an Israeli/Palestinian state that would not be a Jewish State or a homeland for the Jewish people, but a federation in which Palestinians would soon overwhelm Jews demographically. Progressive denial of their rights would soon follow: as I show in my book The History of Jihad From Muhammad to ISIS, there has never been a majority Muslim nation in which Jews enjoyed equality of rights with Muslims. Tlaib’s unitary state would be no different.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
"Adam Warren, CC ‘22, was in the audience Friday night. Warren said that AAA made the right decision to remove Patel from the stage due to the nature of his jokes, which contradicted the sensitive nature of the event itself.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
"We are more aware, but there is still some ways to go…",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
"“Top FL County Election Official Illegally Let People Vote Over Fax, Email,” by Randy DeSoto, Western Journal, November 13, 2018 (thanks to Mark):",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
There are 2 trillion Google searches per day. PER. DAY.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
"“About a dozen farmers of Chak 7-JB, Panjor, including five siblings — all aged between 57 and 70 — have given up hope of justice after they sold their agricultural lands to Ashraf Awan of Bole De Jhugi, who is father of White House employee Shahid Imran,” Dawn reported. Imran Awan also goes by Shahid Imran Awan, Virginia court records show.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
"Given Friday’s unsealed indictment, however it looks like the DOJ may have changed their tune on Campbell. If so, perhaps that “briefcase full of bribe money” video will finally see the light of day.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
"According to links and information shared by Thomas Wictor and a timeline assessment by Twitter user Mr. Alex, the plausibility of Paddock accidentally killing himself amid the confusion, adrenaline and panic is quite high:",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
"“We’ll highlight the differences in the way Hillary Clinton was prosecuted and how my client was prosecuted,” Daigle said. “We’re seeking to cast a light on this to show that there’s a two-tier justice system and we want it to be corrected.”",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
"The father of the missing boy, Siraj Wahhaj, was arrested at the compound Friday along with his sisters Hujrah Wahhaj and Subhannah Wahhaj and two other adults -- Lucas Morten and Jany Leveille. All have been charged with abuse of the 11 children. Morten was charged with harboring a fugitive.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
I don’t know what it will take to set things right. I don’t know what it will take to exorcise the “spirit of Vatican II” – the spirit of aggiornamento – from the Church. But we will. Christ promised.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,True
It’s not that Mitchell did a bad job creating an inventory of the irregularities in the process and of the odd behavior of Ford and her lawyers. She could do little else. She had many restrictions placed upon her and was only allowed to question Ford for minutes at a time before surrendering the floor to the next committee Democrat.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
The Associated Press contributed to this report.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
The time to take a stand against this radical hijacking of Holy Mother Church is now. Expose and rout every last predator. Purge every homosexual from its clerical ranks.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
HANNITY: He was one of the nine.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
"Retailing these poisonous lies ought to hurt her chances for election to Congress, especially after the Pittsburgh synagogue massacre.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
"To those paying attention over the years, Trump’s desire to intervene in Iran, and his subsequent support in the media and from all sides of the political spectrum should come as no surprise as it has been the plan since Bill Clinton was in office and was documented in the neoconservative PNAC report. This was even admitted by General Wesley Clark, former Supreme Allied Commander of NATO, that the U.S. planned on going to war with Iran, according to a 2001 memo from the U.S. Secretary of Defense.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
"Think about it: The CIA has asked the president to continue secrecy of records that are more than 50 years old or, apparently, some relating to secret correspondence between the CIA and the Assassination Records Review Board back in the 1990s.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
Buy Gold at Discounted Prices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
