text,label
< > Watch this How people influence by Bollywood movies,0
Because ashiqui 2 was remake of Hollywood movie A STAR IS BORN therefore that movie is realistic.,0
What is feminist and liberal? And who they are?? What is excatly meaning??,0
That moron who said **bevkoof hai Jo support kartay hai** screw you 🤯😠,1
< > Raghav Juyal on CAB,0
"All what is happening within the parliament now with a majority on a religious lines is unconstitutional and should be stopped by whatever means. In a country with secular constitutuon you cannot let this happen and only way you can bring down the Modhi, Amit and Swamy clan is by civil disobedience.",0
Real man is someone who has purpose in his life. Purpose makes our lives meaningful.,0
😂😂😂😂 suuuuuuperb guys,0
"Totally waste of time.... This is not a movie review, not at all.",0
 choudhari I love you ji,0
The way you say chutiya bc🤣🤣💯,1
Best Review!!!!!🙏🙏🙏🙏,0
Not cinema...saneema,0
government hi kuch nahi karti bas police aur court ke judges innocent family ko totally barbad kar rahe hain. Totally Blind law in india. save families from prostitutes,1
This woman is terror for any country 🤔 she don't deserve to be in India,0
"I did not see the movie. I am proud of it. Stay away from flimsy propaganda. Focus on your career, parents, society and country. Rest all is illusion.",0
Man you're too good.,0
After so many days I see this chutyia face. wow yar u are remain same chutiya as much as you were before. Get well soon.,0
Arundhati's hairstyle is inspired by Dr. Mashahoor Gulati.,0
"His POV is convincing enough. I'm just wondering how many people took back the same thoughts home rather than thinking about acting like Kabir Singh in their real lives without the ""responsibility Kabir showed towards his love & profession"". How a person perceives a movie is a reflection of his thought process. Some find greatness, where others don't",0
You are right sir bollywood movies can nsver be realistic ones their minds are DASH....,0
Some things are true but i feel he is exaggerating. Har kisi ki personality ek nhi hoti. Some people are impulsive,0
"bro review ""lal kaptaan"" btw very eye opening review 👍",0
 Sarma I DON'T LIKE LGBTQ AND I DON'T SUPPO THEM THIS IS MY VIEW MY SPEECH I LIVE IN A DEMOCRACY SO I WANT TO MAKE THESE PEOPLE TO LEAVE THE COUNTRY BLOODY IDIOTS,1
what the fucking mohila,1
"right brother,, i am bangladesh",0
Once again you nailed it!!. Keep going brother.,0
What is this book about?,0
In the name of feminist doing bad things now a days which is symptom of judgement day we r near,0
"Mere Desh ki ladki aur aurton par proud feel ho Raha hain. Whereas , the same homophobic men watch our penises and cruise around at public toilets . Get over it - homophobes are closet gays in denial.",1
Little knowledge in always dengarous..... it's really....,0
All producers be like... . . . Bhos...ke🙈🙉🙊,0
Yes I love boy not lady's,0
"how our govt going to stop this Arundhathi roy like people , We want peace and development of our nation even opposition parties not doing any favour to support our nation but they are bothered about their own position as present Mody govt working to clearing all pending issues of our nation and putting our nation into fast development.",0
we are so lucky to have our own country. Allah ka shukar hai we had a great leader like Quaid e azam who foreseen this. I live in UK at the moment my Indian friends always used to ask me why Pakistan was created? and if there was no partition of India we could be super power. Now i tell them this is the reason why Pakistan was created. Pakistan zindabad! Pakistan ka matlab kya la ilaha illallah!Pakistan zindabad!,0
I am so happy to be one of your subscriber. God bless you bro!,0
well she is definitely angrezi kutta,0
You are Right Vhaiya.,0
Are fucker Holly ar fresh ki same ???,0
Ranu mondal is a full made in tha world,0
right bro from dubai,0
 Sain EXACTLY!!!!! don't we just go to see a movie to comprehend what the director and the story telling has to offer.... it's about understanding the Movie not Making all the things shown in the movie to the heart.,0
only gangs of wasseypur was realistic movie 😍... hit like if u r agree !,0
I had a very different opinion of the lady.. not any more...go back wherever you came back from..do not teach us to lie...she needs to be deported asap..even the Indian jails should not accept her..whoever has purchased her books..burn them..i am..,0
Even when kabir singh was unaware that Preeti is having his son he was ready to accept other's baby and was ready to give his name though that was his baby but still he was ready to accept preeti even after thinking she has sex with other guy and feminists would not see this.,0
Arundhati Roy herself is Kung Fu Kutta a dog,0
Pratik bahi... Great review as usual... Watch REVA gujarati movie which depicted Indian culture very beautifully... This movie is one of the best,0
Just take it time pass .. nothing else,0
 luck And do you do that with the intention of hurting each other in any way ? I don't think you can compare practicing martial arts to physically abusing someone . Abuse is one sided & with a wrong intention. Two are different according to me .,0
I had purchased one book of hers years ago. I feel like burning it niw,0
"@[41:51]( ?v=n3d5IlngAMA&t=41m51s) arnab whispers ""what was the debate"" xD",0
She luks so cunning. Paid traitors of india,0
Just listen guys if our Government have accepted the LGBT community why don't we??? I m A Straight I Still support [#377Act]( ?search_query=%23377Act)... Jese jiski soch... Be Real Human beings...dont discriminate Them When God Accepted Them They Dont Need Your Acception...🤘,0
se se se it's hearing looking feeling veery bed...,0
why not arrest them ? I know that census was done incorrectly during UPA. that is why they are in so panicked now.,0
 star There are some unwanted guests in your house... only you n your wife are earning ....working hard to improve economic conditions of your family.... how long will you keep these guests who came uninformed... using your and your children's resources and contributing nothing to your family? Further....These issues are long kept unresolved inspite of supreme court's suggestion that they should be resolved urgently ..... Above all what right she has to mislead these guests and tell them ....You fight with family members and be here illegally.....Shame on us we call her intellectual.....,0
i wish my bf could take this step and keep me and enjoy bed 🥰,0
sotti great roasted i have ever seen,0
I support u in ur war vd fake feminists,0
"And yet the first few minutes of the video are dedicated to hate comments , such sick mentality!!! Still stuck in medieval times,get some education !!!",0
Can i talk to u once??,0
Arnab just see the english news papers. The anchors who spread wrong information are sitting there.,0
" luck Fair enough then ... The director's approach isn't very clear to me however , may be it's misinterpreted , may be not . And can't comment on the movie scenes . Started my comment stating that didn't watch it.",0
So fanny next video bhai 😄😄😄,0
you committed crime being born as man.,0
I. like you very nice,0
Don't talk about feminists. This is their own opinion. This is what they feel. You should talk about your opinion. And we are free to say our opinion not to judge other people's opinion.,0
Haven't seen the movie yet but watched some interviews etc . I just want to say one thing . In a relationship few things are definitely toxic like physical abuse . Doesn't matter if the guy does it or the girl it's still wrong . May be the movie didn't justify kabir's action but the director did . He said something like both the partners should have the liberty to touch each other & even slap & express their anger etc. which is wrong according to me ! And I have a problem wiith how he tried to justify it . The scene is supposed to show how the character handled the situation not how it should be handled & justifying it does the latter .,0
"Same repeatitive story Everytime by bollywood, only actor and actress are different and item song is always there in most of the movies. Bollywood is totally bullshit. ' Crime patrol ' is much much better than Bollywood.",0
As you sow so shall you reap... Innocent husband has been prosecuted against Legal Terrorism and he had shown the actual meaning of it...! Well done...!!!,0
"This was an excellent debate Republic TV and Arnabji thank you for enlightening my fellow brother Kapil in the best of ways, ur immediate sensitivity to moderate the tone of discussion with my brother and my fellow countryman Kapil was educating and towards directing them towards the foundation of TRUTH around NPR & NRC.,, with this discussion between u and Kapil it was eye opening for us to see the roots of NPR & NRC and also projected light on the Congressman misleading intentions and the barrage of lies that is being opened up on the great youth of our great country., Enjoyed this debate.",0
She is social pollutant She should be arrested as quick as possible,0
You are very articulate in your language and thoughts. Well done and keep it up.,0
Eagerly waiting for your opinion finally.. 😍,0
"That's why I never Watch These Kind Of Movies. I Watched andhadhoon, nil batey sannata, maanjhi, ankur aroroa murder case Etc 👍💯",0
"She is a cow,dog,😠😡😡",0
Being honest - i didn't get even a single letter,0
"As an Indian, I too feel he is right and it's because he is actually right.",0
Stupid ranu mandol I wish she go back to how she was u poor lady not kind,0
" Namid I am sorry I didn't get u, I'll give u my number & u won't text me on WhatsApp is it? I don't use much of fb as when college starts I'll be busy again that's why",0
Thanks for this video....,0
anime s not for kids Dude Let them watch in tv you can. watch animie. on youtube or streaming web watch. it with subtitle dubbing are creepy,0
Not 'didn't worked'. It's 'didn't work'.,0
No one is more hated than the one who tells the truth. -Plato That's why this guy has less number of subscribers.....because he tells the truth.,0
Whenever masculinity is shown these librandoos will cry.,0
Seems you are illegal bangldeshi,0
 hussain mirza HE IS MY BF ..,0
From today onward she will be called kungfu bitc?,0
I advice RANDI...RANDY fr anudhiti Roy tell her name ...when officials come to her door...... filthiest hore..,1
[12:40]( ?v=N_ZMfQMZos0&t=12m40s) sorry but we prefer girls more than family 😠😠😠,0
This whore is a member of psuedo intellectual secular gang.She made a villa in naive ST's land.,1
This channel gives me hope.,0
Sir ur T-shirt 👌👌😁😁😂😂,0
What a cunning and in actual a idiot women..who thinks she is intellectual.. idiot are people clapping at her idiot propaganda..,0
"I don't agree with you pratik brother...I don't think movie itni acchi hai.....Iss movie mai shahid ka character itna wieard dikhaya gaya hai....Itni gandhi tarah usko present kiya gaya hai....How can u say that this movie is awesome.... That's my opinion...I think udta punjab is much better than this movie...In this movie he is alcoholic, womanizer, drugs addict, psyco, clumsy and at the same time he is university topper, best football player, docter...Wow...This is too much....For first time I don't like your review....Not agree with u",0
Very nice😘😘😘😘😘😘😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍,0
Feminists​ & Liberals are curse to humanity,0
U r right sir👍 Love you 3000..,0
