target,text,label
The COVID-19 vaccine causes people to test positive for COVID-19 because the vaccine contains virus.,LI woman tests positive for COVID-19 after second dose of Moderna vaccine via #WearAMask EVEN AFTER VACCINATION,2
Natural immunity last longer and is better than vaccine-induced immunity.,"The COVID-19 vaccine will have to be tweaked every year, just like the flu.",1
The Federal government lied about the COVID-19 vaccines to reduce the information about effective treatments., Wait so do you guys do all your lessons like usual,0
The COVID-19 vaccine can cause COVID-19 because it contains the live virus.,The covid 19 vaccine is dangerous to your health.. period,1
"Pharmaceutical companies purposefully conceal information about the safety of vaccines, such as Merck lying about the HPV Gardasil vaccine."," It has been a particularly bad month for the pharmaceutical industrial complex in its ongoing litigations in American courts. Among the main pharmaceutical headlines, Merck's Gardasil vaccine for HPV, now being widely administered to pre-teens, was found",0
Governments hide vaccine safety information.,"Health decisions must be made by experts! Yet, despite scientific evidence of #hpv vaccine safety public opinion and often government action is more swayed by media allegations and spread of shocking images spread via social media. #ipvc2018",2
"Vaccines alter the immune system of a child, such as causing cytokine storm where the immune system attacks the body, especially in young women, girls, and unborn children where the vaccine was designed to destroy their immune systems.","Reported side effects of Gardasil vaccination include immune-based inflammatory neurodegenerative disorders, suggesting something is causing the immune system to overreact in a detrimental way, sometimes fatally. ",2
The COVID-19 vaccine can increase risk for other illnesses.,Would you get the COVID-19 vaccine?,1
The vaccine has not gone through testing for carcinogenicity or impairment of fertility.,そろそろ寝ましょうかね～ おやすみなさいましぃ ,2
The COVID vaccine renders pregnancies risky and unsafe for unborn babies by causing causes infertility or miscarriages.,COVID-19 vaccines unsafe? ,0
Not getting the HPV vaccine isn't putting others at great risk if you aren't promiscuous.,"HPV Vaccine does not Increase Risk of Promiscuity in Young Women: Study: A recent study that examines sexual b... """,1
The immune system overreacts to COVID-19 after taking the COVID-19 vaccine through antibody-dependent enhancement.,Seems like a lot of people are having allergic reactions to the Covid vaccine.,1
The COVID vaccine renders pregnancies risky and unsafe for unborn babies by causing causes infertility or miscarriages.,COVID-19 vaccine is made out of the tears of aborted babies,1
